NAME,TEAM,POS,AGE,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Don Ackerman, NYK, PG,23,28, , 7.9,0.5,2.3, .222, ,,, 0.5, 2.3,.222,.222, 0.5,1.0,.536, ,,0.5,0.8, , ,,1.5, 1.5
Don Asmonga, BLB, G,25,7, , 6.6,0.3,2.1, .133, ,,, 0.3, 2.1,.133,.133, 0.1,0.1,1.000, ,,0.1,0.7, , ,,1.7, 0.7
Jim Baechtold, NYK, SF,26,70, , 23.2,2.4,6.6, .366, ,,, 2.4, 6.6,.366,.366, 1.9,2.5,.757, ,,2.6,1.7, , ,,2.8, 6.8
Don Barksdale*, BOS, PF,30,63, , 21.6,2.5,6.6, .376, ,,, 2.5, 6.6,.376,.376, 2.4,3.6,.662, ,,5.5,1.9, , ,,3.4, 7.3
Leo Barnhorst, TOT, F-G,29,72, , 28.7,2.8,8.2, .338, ,,, 2.8, 8.2,.338,.338, 0.9,1.2,.716, ,,4.1,3.1, , ,,2.8, 6.4
Leo Barnhorst, BLB, SF,29,55, , 34.2,3.4,9.7, .352, ,,, 3.4, 9.7,.352,.352, 1.1,1.5,.707, ,,,3.9, , ,,3.1, 7.9
Leo Barnhorst, FTW, SF,29,17, , 10.9,0.7,3.4, .211, ,,, 0.7, 3.4,.211,.211, 0.3,0.4,.833, ,,,0.7, , ,,1.8, 1.7
Ernie Barrett, BOS, SG,24,59, , 10.9,1.0,3.2, .314, ,,, 1.0, 3.2,.314,.314, 0.2,0.4,.560, ,,1.7,0.9, , ,,2.0, 2.3
Ernie Beck, PHW, SG,22,15, , 28.1,2.6,9.5, .275, ,,, 2.6, 9.5,.275,.275, 2.3,2.9,.791, ,,3.3,2.3, , ,,1.9, 7.5
Irv Bemoras, MLH, SF,23,69, , 21.7,2.7,7.3, .366, ,,, 2.7, 7.3,.366,.366, 2.0,3.0,.668, ,,3.1,1.1, , ,,2.2, 7.4
Bill Bolger, BLB, SF,22,20, , 10.1,1.2,3.0, .407, ,,, 1.2, 3.0,.407,.407, 0.4,0.7,.615, ,,1.8,0.6, , ,,1.4, 2.8
Vince Boryla, NYK, SF,26,52, , 29.3,3.4,10.1, .333, ,,, 3.4, 10.1,.333,.333, 1.3,1.6,.864, ,,2.5,1.5, , ,,2.5, 8.1
Bob Brannum, BOS, PF,27,71, , 24.4,2.0,6.4, .309, ,,, 2.0, 6.4,.309,.309, 1.8,2.9,.626, ,,7.2,2.0, , ,,3.9, 5.8
Carl Braun*, NYK, SG,26,72, , 33.0,4.9,12.3, .400, ,,, 4.9, 12.3,.400,.400, 4.9,6.0,.825, ,,3.4,2.9, , ,,3.6, 14.8
Frankie Brian, FTW, SG,30,64, , 15.2,2.1,5.5, .375, ,,, 2.1, 5.5,.375,.375, 2.1,2.8,.753, ,,1.2,1.4, , ,,1.6, 6.3
Bill Calhoun, MLH, SF,26,72, , 32.9,2.6,7.6, .349, ,,, 2.6, 7.6,.349,.349, 3.0,4.1,.733, ,,3.8,2.6, , ,,2.1, 8.3
Cal Christensen, ROC, SF,26,70, , 23.6,2.0,5.6, .347, ,,, 2.0, 5.6,.347,.347, 2.0,3.7,.529, ,,5.6,1.5, , ,,2.8, 5.9
